genus,myc
Alococarpum,AM
Aloe,AM
Aloiampelos,AM
Aloidendron,AM
Aloinopsis,AMNM
Alomia,AM
Alomiella,AM
Alonsoa,AM
Alopecuro-veronica,AM
Alopecurus,AM
Alophia,AM
Aloysia,AM
Alphandia,AM
Alphitonia,AM
Alphonsea,AM
Alpinia,AM
Alrawia,AM
Alseis,AM
Alseodaphne,AM
Alseuosmia,AM
Alshehbazia,NM
Alsinidendron,AMNM
Alsobia,AM
Alsodeiopsis,AM
Alsomitra,AM
Alsophila,AM
Alstonia,AM
Alstroemeria,AM
Alzatea,AM
Altensteinia,ORC
Alternanthera,AMNM
Althaea,AM
Althenia,AMNM
Altingia,AM
Altoparadisium,AM
Aluta,AM
Alvaradoa,AM
Alvesia,AM
Alvimia,AM
Alvimiantha,AM
Alvordia,AM
Alyogyne,AM
Alysicarpus,AM
Alyssoides,NM
Alyssopsis,NM
Alyssum,NM
Alyxia,AMNM
Amaioua,AM
Amalocalyx,AM
Amalophyllon,AM
Amana,AM
Amanoa,AM
Amaracarpus,AM
Amaranthus,AMNM
Amaroria,AM
Amaryllis,AM
Amasonia,AM
Amauria,AM
Amauriopsis,AM
Amauropelta,AM
Ambavia,AM
Ambelania,AM
Amberboa,AM
Ambilobea,AM
Amblyanthopsis,AM
Amblyanthus,AM
Amblygonocarpus,AM
Amblynotus,AMNM
Amblyocarpum,AM
Amblyolepis,AM
Amblyopappus,AM
Amblyopetalum,AM
Amblysperma,AM
Ambongia,AMNM
Amborella,AM
Amboroa,AM
Ambrella,ORC
Ambrosia,AM
Ambrosina,AMNM
Ambulia,AM
Amburana,AM
Ameghinoa,AM
Amelanchier,AM
Amelasorbus,AM
Amellus,AM
Amentotaxus,AM
Ameroglossum,AM
Amesiella,ORC
Amesiodendron,AM
Amethystea,AM
Amherstia,AM
Amianthium,AM
Amicia,AM
Amischotolype,AM
Ammandra,AM
Ammannia,AMNM
Ammi,AM
Ammobium,AM
Ammocalamagrostis,AM
Ammocharis,AM
Ammochloa,AM
Ammodaucus,AM
Ammodendron,AM
Ammoides,AM
Ammophila,AM
Ammopiptanthus,AM
Ammoselinum,AM
Ammosperma,NM
Amoana,ORC
Amolinia,AM
Amomum,AM
Amomyrtella,AM
Amomyrtus,AM
Amoora,AM
Amoreuxia,AM
Amorimia,AM
Amorpha,AM
Amorphophallus,AM
Amorphospermum,AM
Ampelamus,AM
Ampelaster,AM
Ampelocalamus,AM
Ampelocera,AM
Ampelocissus,AM
Ampelodesmos,AM
Ampelopsis,AM
Ampelopteris,AM
Ampelosicyos,AM
Ampelozizyphus,AM
Ampelygonum,NA
Amperea,NA
Amphiachyris,AM
Amphiasma,AM
Amphiblemma,AM
Amphiblestra,AM
Amphibolia,AMNM
Amphibolis,NM
Amphibologyne,AMNM
Amphibromus,AM
Amphicarpaea,AM
Amphicarpum,AM
Amphidasya,AM
Amphiglossa,AM
Amphilophium,AM
Amphimas,AM
Amphineurion,AM
Amphineuron,AM
Amphiodon,AM
Amphipappus,AM
Amphipetalum,AMNM
Amphiphyllum,AM
Amphipogon,AM
Amphipterygium,AM
Amphirrhox,AM
Amphiscirpus,AMNM
Amphistemon,AM
Amphitecna,AM
Amphithalea,AM
Amphoricarpos,AM
Amphorocalyx,AM
Amphorogyne,AMNM
Amsinckia,AMNM
Amsonia,AM
Amydrium,AMNM
Amyema,NM
Amylotheca,NM
Amyrea,AM
Amyris,AM
Amyxa,AM
Anabasis,NM
Anacampseros,NA
Anacamptiplatanthera,ORC
Anacamptis,ORC
Anacamptorchis,ORC
Anacardium,AM
Anacolosa,AM
Anacyclus,AM
Anadelphia,AM
Anadenanthera,AM
Anadendrum,AMNM
Anaectocalyx,AM
Anagallis,AM
Anagyris,AM
Anakasia,AM
Anamantoglossum,ORC
Anamaria,AMNM
Anamirta,AM
Ananas,AMNM
Ananthacorus,AM
Anaphalioides,AM
Anaphalis,AM
Anaphyllopsis,AMNM
Anaphyllum,AMNM
Anarrhinum,AMNM
Anarthria,AMNM
Anarthrophyllum,AM
Anarthropteris,AMNM
Anastatica,NM
Anastrabe,AM
Anathallis,ORC
Anatropanthus,AM
Anaxagorea,AM
Anaxeton,AM
Ancathia,AM
Anchietea,AM
Anchomanes,AMNM
Anchonium,NM
Anchusa,AM
Ancistrachne,AM
Ancistragrostis,AM
Ancistranthus,AMNM
Ancistrocarphus,AM
Ancistrocarpus,AM
Ancistrocarya,AMNM
Ancistrochilus,ORC
Ancistrocladus,AM
Ancistrorhynchus,ORC
Ancistrostylis,AMNM
Ancistrothyrsus,AM
Ancistrotropis,AM
Ancylobothrys,AM
Ancylotropis,AM
Andeimalva,AM
Anderbergia,AM
Andersonglossum,AMNM
Andersonia,EM
Andinia,ORC
Andira,AM
Andrachne,AM
Andradea,AMNM
Andreadoxa,AM
Andriana,AM
Andringitra,AM
Androcalva,AM
Androcalymma,AM
Androcymbium,AM
Andrographis,AM
Androlepis,AMNM
Andromeda,EM
Andropogon,AM
Andropterum,AM
Androsace,AM
Androsiphonia,AM
Androstachys,AM
Androstephium,AM
Androstoma,EM
Androtium,AM
Androtrichum,AMNM
Androya,AM
Andrzeiowskia,NM
Andryala,AM
Anechites,AM
Aneilema,AMNM
Anelsonia,NM
Anemanthele,AM
Anemarrhena,AM
Anemia,AM
Anemocarpa,AM
Anemoclema,AM
Anemonastrum,AM
Anemone,AM
Anemonella,AM
Anemonidium,AM
Anemonoides,AM
Anemonopsis,AM
Anemopaegma,AM
Anemopsis,AM
Anerincleistus,AM
Anetanthus,AM
Anethum,AM
Anetium,AM
Aneulophus,AM
Angadenia,AM
Angelesia,AM
Angelica,AM
Angelonia,AMNM
Angianthus,AMEM
Anginon,AM
Angiopteris,AM
Angkalanthus,AMNM
Angolaea,NM
Angophora,AMEM
Angoseseli,AM
Angostura,AM
Angostylis,AM
Angraecopsis,ORC
Angraecum,ORC
Anguloa,ORC
Angylocalyx,AM
Anhaloniopsis,AM
Ania,ORC
Aniba,AM
Anigozanthos,NM
Anisacanthus,AMNM
Anisadenia,AM
Anisantherina,AMNM
Aniseia,AM
Aniselytron,AM
Aniserica,EM
Anisocampium,AM
Anisocapparis,AM
Anisocarpus,AM
Anisochaeta,AM
Anisochilus,AM
Anisocoma,AM
Anisocycla,AM
Anisodontea,AM
Anisodus,AM
Anisomeles,AM
Anisomeria,NM
Anisopappus,AM
Anisophyllea,AM
Anisopoda,AM
Anisopogon,AM
Anisoptera,EM
Anisopus,AM
Anisosciadium,AM
Anisosepalum,AMNM
Anisotes,AMNM
Anisothrix,AM
Anisotoma,AM
Anisotome,AM
Ankyropetalum,AMNM
Anna,AM
Annamocalamus,AM
Annea,AM
Annesijoa,AM
Anneslea,AM
Annesorhiza,AM
Annickia,AM
Annona,AM
Anoda,AM
Anodendron,AM
Anodopetalum,AM
Anoectochilus,ORC
Anogeissus,AM
Anogramma,NA
Anomacanthus,AMNM
Anomianthus,AM
Anomochloa,AM
Anomospermum,AM
Anomostachys,AM
Anonidium,AM
Anoplocaryum,AMNM
Anopteris,AM
Anopterus,AM
Anopyxis,AMNM
Anotea,AM
Anredera,AM
Ansellia,ORC
Antegibbaeum,AMNM
Antennaria,AM
Antenoron,AM
Anteremanthus,AM
Anthaenantia,AM
Anthaenantiopsis,AM
Anthemis,AM
Anthephora,AM
Anthericopsis,AMNM
Anthericum,AM
Antheroporum,AM
Antherostele,AM
Antherothamnus,AM
Antherotoma,AM
Anthobolus,AMNM
Anthocarapa,AM
Anthocercis,NA
Anthoceros,AM
Anthochlamys,AMNM
Anthochortus,AMNM
Anthocleista,AM
Anthodiscus,AM
Anthodon,AM
Anthogonium,ORC
Anthonotha,EM
Anthopteropsis,EM
Anthopterus,EM
Anthorrhiza,AM
Anthosachne,AM
Anthospermopsis,AM
Anthospermum,AM
Anthostema,AM
Anthotium,AMEM
Anthotroche,AM
Anthoxanthum,AM
Anthrichaerophyllum,AM
Anthriscus,AM
Anthurium,AMNM
Anthyllis,AM
Antiaris,AM
Antiaropsis,AM
Anticharis,AM
Anticlea,AM
Antidaphne,AMNM
Antidesma,AM
Antigonon,AMNM
Antigramma,AMNM
Antillanthus,AM
Antillia,AM
Antimima,AMNM
Antinoria,AM
Antiotrema,AMNM
Antiphiona,AM
Antiphytum,AMNM
Antirhea,AM
Antirrhinum,AMNM
Antistrophe,AM
Antizoma,AM
Antithrixia,AM
Antonia,AM
Antopetitia,AM
Antrocaryon,AM
Antrophyum,AM
Anubias,AMNM
Anulocaulis,AMNM
Anvillea,AM
Aoranthe,AM
Aosa,NM
Aotus,AMEM
Apacheria,NA
Apalochlamys,AM
Aparisthmium,AM
Apartea,AM
Apatesia,AMNM
Apatophyllum,AM
Apeiba,AM
Apera,AM
Apetahia,AM
Aphanactis,AM
Aphanamixis,AM
Aphananthe,AM
Aphandra,AM
Aphanes,AM
Aphanisma,AMNM
Aphanocalyx,EM
Aphanocarpus,AM
Aphanopetalum,NA
Aphanopleura,AM
Aphanosperma,AMNM
Aphanostephus,AM
Aphelandra,AMNM
Aphelia,AMNM
Aphloia,AM
Aphragmus,NM
Aphyllanthes,AM
Aphyllocladus,AM
Aphyllodium,AM
Aphyllon,AMNM
Aphyllorchis,ORC
Apiastrum,AM
Apinagia,NM
Apiopetalum,AM
Apios,AM
Apium,AM
Aplanodes,NM
Aplectrum,ORC
Apluda,AM
Apoballis,AMNM
Apocaulon,AM
Apochiton,AM
Apochloa,AM
Apoclada,AM
Apocopis,AM
Apocynum,AM
Apodanthera,AM
Apodanthes,NM
Apodasmia,AMNM
Apodicarpum,AM
Apodiscus,AM
Apodocephala,AM
Apodolirion,AM
Apodostigma,AM
Apodytes,AM
Apollonias,AM
Aponogeton,AMNM
Apophyllum,AM
Apoplanesia,AM
Apopyros,AM
Aporocactus,AM
Aporochia,AM
Aporosa,AM
Aporostylis,ORC
Aporrhiza,AM
Aporusa,AM
Aposeris,AM
Apostasia,ORC
Apostates,AM
Appendicula,ORC
Appendicularia,AM
Appertiella,AMNM
Appunia,AM
Aptandra,AM
Apteranthes,AM
Apteria,AM
Apterosperma,AM
Aptosimum,AM
Apuleia,AM
Apurimacia,AM
Aquilaria,AM
Aquilegia,AM
Arabidella,NM
Arabidobrassica,NM
Arabidopsis,NM
Arabis,NM
Aracamunia,ORC
Arachis,AM
Arachniodes,AM
Arachnis,ORC
Arachnitis,AM
Arachnothryx,AM
Araeococcus,AMNM
Arafoe,AM
Aragoa,AMNM
Araiostegia,AM
Aralia,AM
Aralidium,AM
Araliopsis,AM
Arapatiella,AM
Araracuara,AM
Aratitiyopea,AMNM
Araucaria,AM
Araujia,AM
Arbelaezaster,AM
Arberella,AM
Arboa,AM
Arbutus,EM
Arcangelisia,AM
Arceuthobium,AMNM
Archangiopteris,AM
Archboldiodendron,AM
Archeria,EM
Archiatriplex,AMNM
Archibaccharis,AM
Archiboehmeria,AMNM
Archidendron,AM
Archidendropsis,AM
Archirhodomyrtus,AM
Archivea,ORC
Archontophoenix,AM
Archytaea,AM
Arcoa,AM
Arctagrostis,AM
Arctanthemum,AM
Arcteranthis,AM
Arcterica,AM
Arctium,AM
Arctodupontia,AM
Arctogeron,AM
