genus,myc
Kefersteinia,ORC
Kegeliella,ORC
Keithia,AM
Kelita,AMNM
Kelleria,AM
Kelleronia,AMNM
Kelloggia,AM
Kelseya,AM
Kelussia,AM
Kemulariella,AM
Kendrickia,AM
Kengyilia,AM
Kennedia,AMNM
Kenopleurum,AM
Kentiopsis,AM
Kentrothamnus,AM
Keraudrenia,AM
Keraunea,AM
Keraymonia,AM
Kerbera,AM
Kerianthera,AM
Kermadecia,NM
Kernera,NM
Kerria,AM
Kerriochloa,AM
Kerriodoxa,AM
Kerriothyrsus,AM
Keteleeria,EM
Kewa,NA
Keysseria,AM
Khadia,AMNM
Khaosokia,AMNM
Khasiaclunea,AM
Khaya,AM
Khmeriosicyos,AM
Kibara,AM
Kibaropsis,AM
Kibatalia,AM
Kickxia,AM
Kielmeyera,AM
Kigelia,NM
Kiggelaria,AM
Kihansia,AM
Killickia,AM
Killipia,AM
Kinabaluchloa,AM
Kingdonia,AM
Kinghamia,AM
Kingia,AMNM
Kingianthus,AM
Kingiodendron,AM
Kinia,AM
Kionophyton,ORC
Kipandiorchis,ORC
Kippistia,AM
Kirengeshoma,AM
Kirkbridea,AM
Kirkia,AM
Kissenia,NM
Kitagawia,AM
Kitaibelia,AM
Kjellbergiodendron,AMEM
Klackenbergia,AM
Klaineanthus,AM
Klainedoxa,AM
Klaprothia,NM
Klarobelia,AM
Klasea,AM
Klattia,AM
Kleinhovia,AM
Kleinia,AM
Klossia,AM
Klotzschia,AM
Knautia,AM
Knema,AM
Knersia,AMNM
Knightia,NM
Kniphofia,AM
Knorringia,AMNM
Knowltonia,AM
Knoxia,AM
Koanophyllon,AM
Kobresia,AMNM
Kobresia bellardii,EM
Kobresia capillifolia,EM
Kobresia filicina,EM
Kobresia myosuroides,EM
Kochia,AM
Kochummenia,AM
Koeberlinia,NM
Koehneola,AM
Koehneria,AM
Koeleria,AM
Koellensteinia,ORC
Koellikeria,AM
Koelpinia,AM
Koelreuteria,AM
Koenigia,AMNM
Koernickanthe,AM
Kogelbergia,AM
Kohautia,AM
Kohleria,AM
Koilodepas,AM
Kokia,AM
Kokoona,AM
Kolobopetalum,AM
Komarovia,AM
Koompassia,NA
Koordersiochloa,AM
Koordersiodendron,AM
Kopsia,NA
Kopsiopsis,AMNM
Korshinskia,AM
Korthalsella,AMNM
Korthalsia,AM
Korupodendron,AM
Kosmosiphon,AMNM
Kosopoljanskia,AM
Kosteletzkya,AM
Kostermansia,AM
Kostermanthus,AM
Kozlovia,AM
Kotschya,AM
Koyamacalia,AM
Koyamaea,AMNM
Krameria,AM
Krapfia,AM
Krapovickasia,AM
Krascheninnikovia,AM
Krasnovia,AM
Krauseola,AMNM
Kraussia,AM
Kremeriella,NM
Kreodanthus,ORC
Krigia,AM
Krubera,AM
Krugiodendron,AM
Krukoviella,AMNM
Kubitzkia,AM
Kudoacanthus,AMNM
Kudrjaschevia,AM
Kuepferia,AM
Kuhlhasseltia,ORC
Kuhlmanniodendron,AM
Kumara,AM
Kumlienia,AM
Kummerowia,AM
Kundmannia,AM
Kunhardtia,AM
Kuniwatsukia,AM
Kunstleria,AM
Kunzea,AMEM
Kunzmannia,AM
Kuntheria,AM
Kupea,AM
Kuramosciadium,AM
Kurramiana,AM
Kurrimia,AM
Kurzamra,AM
Kuruna,AM
Kutchubaea,AM
Kydia,AM
Kyhosia,AM
Kyllinga,AMNM
Kyllingia,AMNM
Kyrsteniopsis,AM
Labichea,AM
Labisia,AM
Lablab,AM
Labordia,AM
Labourdonnaisia,AM
Labramia,AM
Laburnocytisus,AM
Laburnum,AM
Lacaena,ORC
Lacandonia,AM
Laccodiscus,AM
Laccopetalum,AM
Laccospadix,AM
Laccosperma,AM
Lachanodes,AM
Lachenalia,AM
Lachenalii,AMNM
Lachnaea,AM
Lachnagrostis,AM
Lachnanthes,NM
Lachnocapsa,NM
Lachnocaulon,AM
Lachnochloa,AM
Lachnoloma,NM
Lachnophyllum,AM
Lachnorhiza,AM
Lachnospermum,AM
Lachnostachys,AM
Lachnostoma,AM
Lachnostylis,AM
Lacistema,AM
Lackeya,AM
Lacmellea,AM
Lacomucinaea,AMNM
Lactoris,AM
Lactuca,AM
Lacunaria,AMNM
Ladeania,AM
Ladenbergia,AM
Ladyginia,AM
Laelia,ORC
Laeliocattleya,ORC
Laennecia,AM
Laestadia,AM
Laetia,AM
Lafoensia,AM
Lafuentea,AMNM
Lagarosiphon,AM
Lagarostrobos,AM
Lagascea,AM
Lagenandra,AMNM
Lagenantha,AMNM
Lagenanthus,AM
Lagenaria,AM
Lagenias,AM
Lagenocarpus,NM
Lagenocypsela,AM
Lagenophora,AM
Lagerstroemia,AM
Lagetta,AM
Laggera,AM
Lagochilus,AM
Lagoecia,AM
Lagophylla,AM
Lagopsis,AM
Lagoseriopsis,AM
Lagoseris,AM
Lagotis,AM
Lagrezia,AMNM
Lagunaria,AM
Laguncularia,AM
Lagurus,AM
Lalldhwojia,AM
Lallemantia,AM
Lamanonia,AM
Lamarchea,AMEM
Lamarckia,AM
Lambertia,NM
Lamiodendron,AM
Lamium,AMNM
Lamourouxia,NM
Lampadaria,AM
Lampas,NM
Lampayo,AM
Lampranthus,NM
Lamprocapnos,AMNM
Lamprocephalus,AM
Lamprolobium,AM
Lamprothamnus,AM
Lamyropappus,AM
Lamyropsis,AM
Lanaria,AM
Lancea,AM
Landiopsis,AM
Landolphia,NA
Langebergia,AM
Langloisia,AM
Langsdorffia,NM
Lankesterella,ORC
Lankesteria,AMNM
Lannea,AM
Lanonia,AM
Lansium,AM
Lantana,AM
Lantanopsis,AM
Lapageria,AM
Lapanthus,AMNM
Lapeirousia,AM
Laphangium,AM
Lapidaria,AMNM
Lapiedra,AM
Laportea,AMNM
Lappula,AMNM
Lapsana,AM
Lapsanastrum,AM
Lardizabala,AM
Larentia,AM
Laretia,AM
Larix,EM
Larrea,AM
Larryleachia,AM
Larsenaikia,AM
Larsenianthus,AM
Laser,AM
Laserpitium,AM
Lasia,AMNM
Lasiacis,AM
Lasiadenia,AM
Lasianthaea,AM
Lasianthera,AM
Lasianthus,AM
Lasiarrhenum,AMNM
Lasimorpha,AMNM
Lasiobema,AM
Lasiocarpus,AM
Lasiocaryum,AMNM
Lasiocephalus,AM
Lasiocereus,AM
Lasiochlamys,AM
Lasiocladus,AMNM
Lasiococca,AM
Lasiocroton,AM
Lasiodiscus,AM
Lasiolaena,AM
Lasiopetalum,AM
Lasiopogon,AM
Lasiosiphon,AM
Lasiospermum,AM
Lasiospora,AM
Lasiurus,AM
Lasjia,NM
Lastarriaea,AMNM
Lasthenia,AM
Lastreopsis,AM
Latace,AM
Latania,AM
Lateropora,EM
Lathraea,AMNM
Lathraeocarpa,AM
Lathrocasis,AM
Lathrophytum,NM
Lathyrus,AM
Latouchea,AM
Latrobea,AMEM
Latua,AM
Laubertia,AM
Launaea,AM
Launea,AM
Laurelia,AM
Laureliopsis,AM
Laurembergia,AMNM
Laurophyllus,AM
Laurus,AM
Lauterbachia,AM
Lavandula,AM
Lavatera,AM
Lavigeria,AM
Lavoisiera,AM
Lavrania,AM
Lawrencella,AM
Lawrencia,AM
Lawsonia,AM
Laxmannia,AM
Laxoplumeria,AM
Layia,AM
Leandra,AM
Leandriella,AMNM
Leavenworthia,NM
Lebeckia,AM
Lebetanthus,EM
Lebronnecia,AM
Lebrunia,AM
Lebruniodendron,AM
Lecananthus,AM
Lecaniodiscus,AM
Lecanocarpus,AMNM
Lecanophora,AM
Lecanopteris,AMNM
Lecanorchis,ORC
Lecanthus,AMNM
Lecariocalyx,AM
Lechea,EM
Lechenaultia,AM
Lecocarpus,AM
Lecointea,AM
Lecokia,AM
Lecomtedoxa,AM
Lecomtella,AM
Lecosia,AMNM
Lecythis,AM
Ledebouria,AM
Ledebouriella,AM
Ledenbergia,AMNM
Ledermanniella,NM
Ledothamnus,EM
Ledum,EM
Leea,AM
Leersia,AM
Leeuwenbergia,AM
Lefebvrea,AM
Legenere,AM
Legnephora,AM
Legousia,AM
Legrandia,AM
Leguminaria,AM
Lehmanniella,AM
Leibnitzia,AM
Leiboldia,AM
Leidesia,AM
Leiocarpa,AM
Leionema,AM
Leiophyllum,NA
Leiospermum,AM
Leiospora,NM
Leiosporoceros,NA
Leiothrix,AM
Leiothylax,NM
Leiotulus,AM
Leipoldtia,AMNM
Leitneria,AM
Lellingeria,AM
Lelya,AM
Lemaireocereus,AM
Lembocarpus,AM
Lemeltonia,AMNM
Lemmaphyllum,AM
Lemna,NM
Lemooria,AM
Lemurella,ORC
Lemurodendron,AM
Lemurophoenix,AM
Lemuropisum,AM
Lemurorchis,ORC
Lemurosicyos,AM
Lemyrea,AM
Lencymmoea,AM
Lennea,AM
Lennoa,AMNM
Lenophyllum,AMNM
Lens,AM
Lenzia,AMNM
Lenwebbia,AM
Leobordea,AM
Leocereus,AM
Leochilus,ORC
Leonardoxa,AM
Leonia,AM
Leonis,AM
Leonotis,AM
Leontice,AM
Leontodon,AM
Leontopodium,AM
Leonurus,AM
Leopoldia,AM
Leopoldinia,NA
Lepanthes,ORC
Lepanthopsis,ORC
Lepechinia,AM
Lepechiniella,AMNM
Lepeostegeres,NM
Lepidacanthus,AMNM
Lepidagathis,AMNM
Lepidaria,NM
Lepiderema,AM
Lepidesmia,AM
Lepidium,NM
Lepidobolus,AMNM
Lepidobotrys,AM
Lepidocaryum,AM
Lepidoceras,AMNM
Lepidocordia,AMNM
Lepidogrammitis,AM
Lepidogyne,ORC
Lepidolopha,AM
Lepidolopsis,AM
Lepidomicrosorium,AM
Lepidonia,AM
Lepidopetalum,AM
Lepidophorum,AM
Lepidophyllum,AM
Lepidorrhachis,AM
Lepidospartum,AM
Lepidosperma,AMNM
Lepidostemon,NM
Lepidostephium,AM
Lepidostoma,AM
Lepidozamia,AM
Lepidothamnus,AM
Lepidotrichilia,AM
Lepidotrichum,NM
Lepilaena,NM
Lepinia,AM
Lepiniopsis,AM
Lepionurus,AMNM
Lepironia,AMNM
Lepisanthes,AM
Lepismium,AM
Lepisorus,AM
Lepistemon,AM
Lepistemonopsis,AM
Leplaea,AM
Leporella,ORC
Leptactina,AM
Leptadenia,AM
Leptagrostis,AM
Leptaleum,NM
Leptarrhena,AMNM
Leptaspis,AM
Leptaulus,AM
Leptecophylla,EM
Leptinella,AMNM
Leptoboea,AM
Leptocarpha,AM
Leptocarpus,NM
Leptocarydion,AM
Leptoceras,ORC
Leptocereus,AM
Leptochilus,AM
Leptochiton,AM
Leptochloa,AMNM
Leptoclinium,AM
Leptodermis,AM
Leptoderris,AM
Leptodesmia,AM
Leptoglossis,AM
Leptogonum,AMNM
Leptohyptis,AM
Leptolaena,EM
Leptolepia,AM
Leptolobium,AM
Leptomeria,AMNM
Leptomischus,AM
Leptonema,AM
Leptonychia,AM
Leptopetalum,AM
Leptopteris,AM
Leptopus,AM
Leptopyrum,AM
Leptorhabdos,AMNM
Leptorhynchos,AMEM
Leptorumohra,AM
Leptoscela,AM
Leptosema,AMEM
Leptosiphon,AM
Leptosiphonium,AMNM
Leptosolena,AM
Leptospermum,AMEM
Leptospron,AM
Leptostelma,AM
Leptostigma,AM
Leptoterantha,AM
Leptotes,ORC
Leptothrium,AM
Leptothyrsa,AM
Leptotriche,AM
Lepturidium,AM
Lepturopetium,AM
Lepturus,AM
Lepuropetalon,AM
Lepyrodia,AMNM
Lepyrodiclis,AMNM
Lerchea,AM
Lereschia,AM
Leretia,AM
Lescaillea,AM
Lesia,AM
Lespedeza,AM
Lesquerella,NM
Lessertia,AM
Lessingia,AM
Lessingianthus,AM
Letestua,AM
Letestudoxa,AM
Letestuella,NM
Lethedon,AM
Lethia,AM
Lettowianthus,AM
Leucactinia,AM
Leucadendron,NM
Leucaena,AM
Leucanthemella,AM
Leucanthemopsis,AM
Leucanthemum,AM
Leucas,AM
Leucaster,AMNM
Leuceria,NA
Leucheria,AM
Leuchtenbergia,AM
Leuchtenfera,AM
Leucoblepharis,AM
Leucocarpus,AM
Leucocasia,AMNM
Leucochloron,AM
Leucochrysum,AMEM
Leucocodon,AM
Leucocoma,AM
Leucocoryne,AM
Leucocrinum,NA
Leucocroton,AM
Leucocyclus,AM
Leucogenes,AMEM
Leucojum,AM
Leucolophus,AM
Leucomeris,AM
Leucomphalos,AM
Leuconotis,AM
Leucophyllum,AM
Leucophysalis,AM
Leucophyta,AM
Leucopogon,EM
Leucoptera,AM
Leucosalpa,AMNM
Leucosceptrum,AM
Leucosidea,AM
Leucospermum,NM
Leucosphaera,AMNM
Leucospora,AMNM
Leucostegane,AM
Leucostegia,AM
Leucosyke,AMNM
Leucothoe,EM
Leucothrinax,AM
Leuenbergeria,AM
Leunisia,AM
Leuzea,AM
Leutea,AM
Levenhookia,AM
Levieria,AM
Lewisia,AM
Lewisiopsis,AMNM
Levisticum,AM
Leycesteria,AM
Leydeum,AM
Leymostachys,AM
Leymus,AM
Leysera,AM
Liabellum,AM
Liabum,AM
Lianthus,AM
Liatris,AM
Libanothamnus,AM
Liberatia,AMNM
Libertia,AM
Libidibia,AM
Libocedrus,AM
Librevillea,EM
Licania,AM
Licaria,AM
Lichtensteinia,AM
Licuala,AM
Lidbeckia,AM
Liebigia,AM
Liesneria,AM
Lifago,AM
Ligaria,NM
Ligeria,AM
Lignocarpa,AM
Ligularia,AM
Ligulariopsis,AM
Ligusticopsis,AM
Ligusticum,AM
Ligustrum,AM
Lijndenia,AM
Lilaeopsis,AM
Lilium,AM
Limacia,AM
Limaciopsis,AM
Limahlania,AM
Limbarda,AM
Limeum,NA
Limnanthes,NM
Limnas,AM
Limnobium,AMNM
Limnocharis,AMNM
Limnodea,AM
Limnophila,NM
Limnophyton,AMNM
Limnopoa,AM
Limnosciadium,AM
Limnosipanea,AM
Limodorum,ORC
Limonia,AM
Limoniastrum,AMNM
Limoniopsis,AMNM
Limonium,AMNM
Limosella,AMNM
Linanthus,AM
Linaria,AMNM
Linariantha,AMNM
Linariopsis,AMNM
Linconia,AM
Lindackeria,AM
Lindbergella,AM
Lindelofia,AMNM
Lindenbergia,AMNM
Lindera,AM
Lindernia,AMNM
Linderniella,AMNM
Lindheimera,AM
Lindleya,AM
Lindmania,AMNM
Lindsaea,AM
Lindsaya,AM
Lindsayomyrtus,NA
Lingelsheimia,AM
Linnaea,AM
Linnaeosicyos,AM
Linnea,AM
Linodendron,AM
Linospadix,AM
Linostoma,AM
Linum,AM
Lipandra,AMNM
Liparia,AM
Liparis,ORC
Liparophyllum,AMNM
Lipastrum,AMNM
Lipocarpha,AM
Lipochaeta,AM
Lippia,AM
Lipskya,AM
Liquidambar,AM
Liriodendron,AM
Liriope,AM
Lisaea,AM
Lisianthius,AM
Lissanthe,EM
Lissocarpa,AM
Listera,ORC
Listia,AM
Listrostachys,ORC
Litchi,AM
Lithachne,AM
Lithobium,AM
Lithocarpus,EM
Lithodora,AMNM
Lithodraba,NM
Lithomyrtus,AM
Lithophila,AMNM
Lithophragma,AMNM
Lithops,AMNM
Lithosciadium,AM
Lithospermum,AMNM
Lithostegia,AM
Lithotoma,AM
Lithraea,AM
Litogyne,AM
Litostigma,AM
Litothamnus,AM
Litrisa,AM
Litsea,AM
Littledalea,AM
Littorella,AM
Litwinowia,NM
Livistona,AM
Livistonia,AM
Llagunoa,AM
Llavea,AM
Llerasia,AM
Loasa,NM
Lobanilia,AM
Lobelia,ORC
Lobostemon,AMNM
Lobularia,NM
Lockhartia,ORC
Lockia,ORC
Lodoicea,AM
Loefgrenianthus,ORC
Loeflingia,AMNM
Loeselia,AM
Loeseliastrum,AM
Loesenera,AM
Loeseneriella,AM
Loewia,AM
Logania,NA
Logfia,AM
Loheria,AM
Loiseleuria,EM
Loliolum,AM
Lolium,AM
Lomagramma,AM
Lomandra,AMNM
Lomariopsis,AM
Lomatia,NM
Lomatium,AM
Lomatocarpa,AM
Lomatocarum,AM
Lomatogoniopsis,AM
Lomatogonium,AM
Lomatozona,AM
Lomelosia,AM
Lonas,AM
Lonchitis,AM
Lonchocarpus,AM
Lonchophora,NM
Longetia,AM
Lonicera,AM
Lopezia,AM
Lophacme,AM
Lophanthera,AM
Lophanthus,AM
Lophatherum,AM
Lophiocarpus,AM
Lophiola,AM
Lophira,AM
Lophocarpinia,AM
Lophocereus,AM
Lophogyne,NM
Lopholaena,AM
Lopholepis,AM
Lophomyrtus,AM
Lophopappus,AM
Lophopetalum,AM
Lophophora,AM
Lophophytum,NM
Lophopogon,NA
Lophopterys,AM
Lophopyxis,AM
Lophosoria,AM
Lophospermum,AMNM
Lophostemon,AMEM
Lophostigma,AM
Lophostoma,AM
Lopriorea,AMNM
Lorandersonia,AM
Loranthus,NM
Lordhowea,AM
Lorenzia,AMNM
Lorentzianthus,AM
Loreya,AM
Loricalepis,AM
Loricaria,AM
Loropetalum,AM
Lorostemon,AM
Lozanella,AM
Lozania,AM
Lotodes,AM
Lotononis,NA
Lotus,AM
Loudetia,AM
Loudetiopsis,AM
Louisiella,AM
Lourteigia,AM
Lourtella,AM
Louteridium,AMNM
Lovoa,AM
Loxanthera,NM
Loxocalyx,AM
Loxocarpus,AM
Loxocarya,AMNM
Loxococcus,AM
Loxodera,AM
Loxodiscus,AM
Loxogramme,AMNM
Loxonia,AM
Loxopterygium,AM
Loxostigma,AM
Loxostylis,AM
Loxothysanus,AM
Loxsoma,AMNM
Loxsomopsis,AMNM
Lubaria,AM
Lucilia,AM
Luciliocline,AM
Luculia,AM
Lucya,AM
Ludekia,AM
Ludia,AM
Ludisia,ORC
Ludovia,AMNM
Ludwigia,AMNM
Lueckelia,ORC
Lueddemannia,ORC
Luehea,AM
Lueheopsis,AM
Luetkea,NA
Luetzelburgia,AM
Luffa,AM
Lugoa,AM
Luina,AM
Luisia,ORC
Lulia,AM
Luma,AM
Lumnitzera,AM
Lunania,AM
Lunaria,NM
Lunasia,AM
Lunathyrium,AM
Lundellianthus,AM
Lundia,AM
Lundinia,AM
Lunularia,AM
Lupinus,NM
Luronium,AMNM
Luziola,AM
Luzonia,AM
Luzula,AMNM
Luzuriaga,AM
Lutheria,AMNM
Lutzia,NM
Luvunga,AM
Luxemburgia,AMNM
Lyallia,NA
Lycamerlycaste,ORC
Lycapsus,AM
Lycaste,ORC
Lychnis,AMNM
Lychnis ,AMNM
Lychnodiscus,AM
Lychnophora,AM
Lychnophoriopsis,AM
Lycianthes,AM
Lycium,AM
Lycocarpus,NM
Lycochloa,AM
Lycomormium,ORC
Lycopersicon,AM
Lycopodiastrum,AM
Lycopodiella,AM
Lycopodioides,AM
Lycopodium,AMNM
Lycopus,AM
Lycoris,AM
Lycoseris,AM
Lycurus,AM
Lygeum,AM
Lyginia,AMNM
Lygisma,AM
Lygodesmia,AM
Lygodium,AM
Lymanbensonia,AM
Lymania,AMNM
Lyonia,EM
Lyonothamnus,AM
Lyperanthus,ORC
Lyperia,AM
Lyrocarpa,NM
Lyroglossa,ORC
Lysiana,NM
Lysicarpus,AMEM
Lysichiton,AMNM
Lysichitum,NA
Lysidice,AM
Lysiloma,AM
Lysimachia,AM
Lysinema,EM
Lysionotus,AM
Lysiosepalum,AM
Lysiostyles,AM
Lysiphyllum,AM
Lysipomia,AM
Lythrum,AMNM
Maackia,AM
Maasia,AM
Mabea,AM
Mabrya,AMNM
Maburea,AM
Macadamia,AM
Macairea,AM
Macaranga,AM
Macarenia,NM
Macarisia,AMNM
Macarthuria,NA
Macbridea,AM
Macbrideina,AM
Macdougallara,AM
Macgregoria,AM
Machaeranthera,AM
Machaerina,AMNM
Machaerium,AM
Machairophyllum,AMNM
Machaonia,AM
Machilus,AM
Mackaya,AMNM
Mackinlaya,AM
Maclaudia,AM
Macleania,EM
Macleaya,AM
Maclura,AM
Maclurochloa,AM
Maclurodendron,AM
Maclurolyra,AM
Macodes,ORC
Macoubea,AM
Macowania,AM
Macphersonia,AM
Macrachaenium,AM
Macradenia,ORC
Macranthera,AMNM
Macrocarpaea,AM
Macrocentrum,AM
Macroclinidium,AM
Macroclinium,ORC
Macrocnemum,AM
Macrococculus,AM
Macrohasseltia,AM
Macrolenes,AM
Macrolobium,AM
Macropanax,AM
Macropeplus,AM
Macropharynx,AM
Macropidia,NM
Macropiper,AMNM
Macropodanthus,ORC
Macropodiella,NM
Macropodina,AM
Macropodium,NM
Macropsychanthus,AM
Macropteranthes,AM
Macroptilium,AM
Macrosamanea,AM
Macroscepis,AM
Macrosolen,NM
Macrosphyra,AM
Macrostelia,AM
Macrostylis,AM
Macrozamia,AM
Macrothelypteris,AM
Macrothumia,AM
Macrotorus,AM
Macrotyloma,AM
Macvaughiella,AM
Madagasikaria,AM
Madagaster,AM
Madhuca,AM
Madia,AM
Madlabium,AM
Maerua,AM
Maesa,AM
Maesobotrya,AM
Maesopsis,AM
Magadania,AM
Magdalenaea,AMNM
Magnistipula,AM
Magnolia,AM
Magodendron,AM
Magonia,AM
Maguireanthus,AM
Maguireocharis,AM
Maguireothamnus,AM
Magydaris,AM
Maharanga,AMNM
Mahawoa,AM
Mahonia,AM
Mahurea,AM
Maianthemum,AM
Maieta,AM
Maihuenia,AM
Maihueniopsis,AM
Maingaya,AM
Maireana,AMNM
Mairetis,AMNM
Mairia,AM
Majanthemum,AM
Majidea,AM
Malachra,AM
Malacocera,AMNM
Malacomeles,AM
Malacothamnus,AM
Malacothrix,AM
Malagasia,NM
Malanea,AM
Malania,AM
Malaxis,ORC
Malcolmia,NM
Malephora,AMNM
Malesherbia,AM
Malleastrum,AM
Malleostemon,AMEM
Mallophyton,AM
Mallotus,AM
Malmea,AM
Malmeanthus,AM
Malope,AM
Malosma,AM
Malotigena,AMNM
Malouetia,AM
Malperia,AM
Malpighia,AM
Malpighiodes,AM
Maltebrunia,AM
Malus,AM
Malva,AM
Malvalthaea,AM
Malvastrum,AMNM
Malvaviscus,AM
Malvella,AM
Mamillaria,NA
Mammea,AM
Mammillaria,AM
Mammilloydia,AM
Manaosella,AM
Mancoa,NM
Mandevilla,AM
Mandragora,AM
Manekia,AM
Manettia,AM
Mangenotiella,AM
Mangifera,AM
Manglietia,AM
Mangonia,AMNM
Manicaria,AM
Manihot,AM
Manilkara,AM
Maniltoa,AM
Manisuris,AM
Manjekia,AM
Mannagettaea,AMNM
Manniella,ORC
Manniophyton,AM
Manoao,AM
Manochlamys,AMNM
Manostachya,AM
Manotes,AM
Manothrix,AM
Mansoa,AM
Mansonia,AM
Mantalania,AM
Mantisalca,AM
Manulea,AM
Manuleopsis,AM
Maoutia,AMNM
Mapania,AMNM
Mappia,AM
Mappianthus,AM
Maprounea,AM
Maquira,AM
Maracanthus,NM
Marah,AM
Marahuacaea,AM
Maraniona,AM
Maranta,AM
Maranthes,AM
Marantochloa,AM
Marasmodes,AM
Marathrum,NM
Marattia,AM
Marcania,AMNM
Marcelliopsis,AMNM
Marcetella,AM
Marcetia,AM
Marcgravia,AM
Marcgraviastrum,AM
Marcus-kochia,NM
Maresia,NM
Mareya,AM
Mareyopsis,AM
Margaretta,AM
Margaritaria,AM
Margaritopsis,AM
Margelliantha,ORC
Marginariopsis,AMNM
Margyracaena,AM
Margyricarpus,AM
Marianthus,AM
Marila,AM
Marina,AM
Mariosousa,AM
Maripa,AM
Markea,AM
Markhamia,AM
Marlierea,AM
Marlothiella,AM
Marlothistella,AMNM
Marmaroxylon,AM
Marmoritis,AM
Marojejya,AM
Marquesia,EM
Marrubium,AM
Marsdenia,AM
Marshallia,AM
Marshalljohnstonia,AM
Marshallocereus,AM
Marsilea,AMNM
Marsilea ,AMNM
Marsippospermum,AMNM
Marsypianthes,AM
Marsypopetalum,AM
Martellidendron,AMNM
Martensianthus,AM
Marthella,AM
Martianthus,AM
Marticorenia,AM
Martinella,AM
Martiodendron,AM
Martretia,AM
Martynia,AM
Mascagnia,AM
Mascarenhasia,AM
Maschalocephalus,AM
Maschalodesme,AM
Masdevallia,ORC
Masoala,AM
Massonia,AM
Massularia,AM
Mastersia,AM
Mastersiella,AMNM
Mastigosciadium,AM
Mastigostyla,AM
Mastixia,AM
Mastixiodendron,AM
Mazaea,AM
Mazus,AM
Matayba,AM
Matelea,AM
Mathewsia,NM
Mathiasella,AM
Mathieua,AM
Mathurina,AM
Matisia,AM
Matonia,AMNM
Matricaria,AM
Matsumurella,AM
Matteuccia,AM
Mattfeldanthus,AM
Mattfeldia,AM
Matthaea,AM
Matthiola,NM
Mattiastrum,AMNM
Matucana,AM
Matudaea,AM
Matudanthus,AMNM
Matudina,AM
Maundia,AMNM
Maurandya,AMNM
Mauranthemum,AM
Mauria,AM
Mauritia,AM
Mauritiella,AM
Maurocenia,AM
Mausolea,AM
Maxburretia,AM
Maxillaria,ORC
Maxonia,AM
Maxwellia,AM
Mayaca,NA
Mayanaea,AM
Mayariochloa,AM
Mayna,AM
Mayodendron,AM
Maytenus,AM
Mcneillia,AMNM
Mcvaughia,AM
Mecardonia,AMNM
Mechowia,AMNM
Mecodium,AM
Mecomischus,AM
Meconella,AMNM
Meconopsis,AMNM
Mecopus,AM
Mecranium,AM
Medemia,AM
Medeola,AM
Mediasia,AM
Medicago,AM
Medicosma,AM
Medinilla,AM
Mediocalcar,ORC
Mediusella,EM
Medranoa,AM
Medusagyne,AMNM
Medusandra,AM
Medusantha,AM
Medusanthera,AM
Meeboldia,AM
Meehania,AM
Megacarpaea,NM
Megaceros,AM
Megacorax,AM
Megadenia,NM
Megahertzia,NM
Megalachne,AM
Megalastrum,AM
Megaleranthis,AM
Megalochlamys,AMNM
Megaloprotachne,AM
Megalorchis,ORC
Megaphrynium,AM
Megaskepasma,AMNM
Megastachya,AM
Megastigma,AM
Megastylis,ORC
Megatritheca,AM
Megistostegium,AM
Megistostigma,AM
Meineckia,AM
Meiocarpidium,AM
Meiogyne,AM
Meiostemon,AM
Meiracyllium,ORC
Meisteria,AM
Melaleuca,AMEM
Melampodium,AM
Melampyrum,NM
Melananthus,AM
Melanocenchris,AM
Melanochyla,AM
Melanococca,AM
Melanodendron,AM
Melanolepis,AM
Melanophylla,AM
Melanopsidium,AM
Melanortocarya,AMNM
Melanosciadium,AM
Melanospermum,AM
Melanostachya,AMNM
Melanoxerus,AM
Melanoxylum,AM
Melanthera,AM
Melasma,AMNM
Melasphaerula,AM
Melastoma,AM
Melastomastrum,AM
Melhania,AM
Melia,AM
Melianthus,AM
Melica,AM
Melichrus,EM
Melicoccus,AM
Melicope,AM
Melicytus,AM
Melientha,AMNM
Melilotus,AM
Melinis,AM
Meliosma,AM
Melissa,AM
Melittacanthus,AMNM
Melittis,AM
Mellera,AMNM
Melliniella,AM
Melliodendron,AM
Melocactus,AM
Melocalamus,AM
Melocanna,AM
Melocarpum,AMNM
Melochia,AM
Melodinus,NA
Melodorum,AM
Melolobium,AM
Melosperma,AMNM
Melothria,AM
Melpomene,AM
Memecylon,AM
Memoremea,AMNM
Menais,AMNM
Mendoncia,AMNM
Mendoravia,AM
Menepetalum,AM
Meniocus,NM
Meniscium,AM
Menisorus,AM
Menispermum,AM
Menkea,NM
Menodora,AM
Menonvillea,NM
Menziesia,EM
Mentha,AM
Mentzelia,NM
Menyanthes,NM
Merciera,AM
Mercurialis,AM
Merendera,AM
Meriania,AM
Merianthera,AM
Mericarpaea,AM
Merinthopodium,AM
Merope,AM
Merostachys,AM
Merremia,AM
Merrillanthus,AM
Merrilliodendron,AM
Merrilliopanax,AM
Merrittia,AM
Mertensia,AM
Merumea,AM
Merwilla,AM
Merxmuellera,AM
Meryta,AM
Mesadenella,ORC
Mesadenus,ORC
Mesanthemum,AM
Mesechites,AM
Mesembryanthemum,AMNM
Mesocapparis,AM
Mesogramma,AM
Mesogyne,AM
Mesomelaena,NM
Mesophlebion,AM
Mesosetum,AM
Mesosphaerum,AM
Mespilus,AM
Mestoklema,AMNM
Mesua,AM
Mezia,AM
