"taxon_ID","trait_ID","trait_value","agreement","references","taxon_name","taxon_author","taxon_lvl","link_source"
164,"3.3.1","zoochorous",1,"10327","Heliconiaceae","Vines","family","APG_IV"
164,"3.3.2","endozoochorous",1,"10327","Heliconiaceae","Vines","family","APG_IV"
164,"3.6.1","biotic",1,"10327","Heliconiaceae","Vines","family","APG_IV"
165,"3.3.1","zoochorous",1,"10327","Musaceae","Juss.","family","APG_IV"
165,"3.3.2","endozoochorous",1,"10327","Musaceae","Juss.","family","APG_IV"
165,"3.6.1","biotic",1,"10327","Musaceae","Juss.","family","APG_IV"
166,"3.6.1","biotic",1,"10327","Cannaceae","Juss.","family","APG_IV"
167,"3.6.1","biotic",1,"10327","Marantaceae","R.Br.","family","APG_IV"
168,"3.6.1","biotic",1,"10327","Costaceae","Nakai","family","APG_IV"
169,"3.6.1","biotic",1,"10327","Zingiberaceae","Martinov","family","APG_IV"
170,"3.6.1","abiotic",1,"10327","Typhaceae","Juss.","family","APG_IV"
172,"3.6.1","biotic",1,"10327","Rapateaceae","Dumort.","family","APG_IV"
173,"3.6.1","biotic",1,"10327","Xyridaceae","C.Agardh","family","APG_IV"
175,"3.3.1","hydrochorous",1,"10327","Mayacaceae","Kunth","family","APG_IV"
175,"3.3.2","hydrochorous",1,"10327","Mayacaceae","Kunth","family","APG_IV"
176,"3.6.1","abiotic",1,"10327","Thurniaceae","Engl.","family","APG_IV"
180,"3.3.1","zoochorous",1,"10327","Flagellariaceae","Dumort.","family","APG_IV"
180,"3.3.2","endozoochorous",1,"10327","Flagellariaceae","Dumort.","family","APG_IV"
180,"3.6.1","abiotic",1,"10327","Flagellariaceae","Dumort.","family","APG_IV"
181,"3.3.1","zoochorous",1,"10327","Joinvilleaceae","Toml. & A.C.Sm.","family","APG_IV"
181,"3.3.2","endozoochorous",1,"10327","Joinvilleaceae","Toml. & A.C.Sm.","family","APG_IV"
181,"3.6.1","abiotic",1,"10327","Joinvilleaceae","Toml. & A.C.Sm.","family","APG_IV"
182,"3.6.1","abiotic",1,"10327","Ecdeiocoleaceae","D.W.Cutler & Airy Shaw","family","APG_IV"
184,"3.6.1","abiotic",1,"10327","Ceratophyllaceae","Gray","family","APG_IV"
185,"3.3.1","anemochorous",1,"10327","Eupteleaceae","K.Wilh.","family","APG_IV"
